YEAR,MO,DY,PRECTOT,Inflow_Liters,Usage_Liters,Net_Storage,Tank_Level
2000,1,1,0.04,4.08,500,-495.92,0.0
2000,1,2,0.02,2.04,500,-497.96,0.0
2000,1,3,0.01,1.02,500,-498.98,0.0
2000,1,4,0.0,0.0,500,-500.0,0.0
2000,1,5,0.21,21.419999999999998,500,-478.58,0.0
2000,1,6,0.37,37.739999999999995,500,-462.26,0.0
2000,1,7,0.01,1.02,500,-498.98,0.0
2000,1,8,0.05,5.1,500,-494.9,0.0
2000,1,9,0.14,14.28,500,-485.72,0.0
2000,1,10,1.54,157.08,500,-342.91999999999996,0.0
2000,1,11,0.33,33.660000000000004,500,-466.34,0.0
2000,1,12,0.01,1.02,500,-498.98,0.0
2000,1,13,0.0,0.0,500,-500.0,0.0
2000,1,14,0.0,0.0,500,-500.0,0.0
2000,1,15,0.0,0.0,500,-500.0,0.0
2000,1,16,0.0,0.0,500,-500.0,0.0
2000,1,17,0.0,0.0,500,-500.0,0.0
2000,1,18,0.0,0.0,500,-500.0,0.0
2000,1,19,0.0,0.0,500,-500.0,0.0
2000,1,20,0.0,0.0,500,-500.0,0.0
2000,1,21,0.0,0.0,500,-500.0,0.0
2000,1,22,0.0,0.0,500,-500.0,0.0
2000,1,23,0.0,0.0,500,-500.0,0.0
2000,1,24,0.0,0.0,500,-500.0,0.0
2000,1,25,0.0,0.0,500,-500.0,0.0
2000,1,26,0.0,0.0,500,-500.0,0.0
2000,1,27,0.0,0.0,500,-500.0,0.0
2000,1,28,0.0,0.0,500,-500.0,0.0
2000,1,29,0.0,0.0,500,-500.0,0.0
2000,1,30,0.0,0.0,500,-500.0,0.0
2000,1,31,0.0,0.0,500,-500.0,0.0
2000,2,1,0.0,0.0,500,-500.0,0.0
2000,2,2,0.01,1.02,500,-498.98,0.0
2000,2,3,0.28,28.56,500,-471.44,0.0
2000,2,4,0.21,21.419999999999998,500,-478.58,0.0
2000,2,5,0.04,4.08,500,-495.92,0.0
2000,2,6,0.01,1.02,500,-498.98,0.0
2000,2,7,0.47,47.94,500,-452.06,0.0
2000,2,8,1.17,119.33999999999997,500,-380.66,0.0
2000,2,9,0.09,9.18,500,-490.82,0.0
2000,2,10,0.03,3.0599999999999996,500,-496.94,0.0
2000,2,11,0.0,0.0,500,-500.0,0.0
2000,2,12,0.0,0.0,500,-500.0,0.0
2000,2,13,0.0,0.0,500,-500.0,0.0
2000,2,14,0.0,0.0,500,-500.0,0.0
2000,2,15,0.0,0.0,500,-500.0,0.0
2000,2,16,0.0,0.0,500,-500.0,0.0
2000,2,17,0.0,0.0,500,-500.0,0.0
2000,2,18,0.0,0.0,500,-500.0,0.0
2000,2,19,0.0,0.0,500,-500.0,0.0
2000,2,20,0.33,33.660000000000004,500,-466.34,0.0
2000,2,21,0.51,52.02,500,-447.98,0.0
2000,2,22,0.35,35.699999999999996,500,-464.3,0.0
2000,2,23,11.66,1189.32,500,689.3199999999999,689.3199999999999
2000,2,24,28.68,2925.3599999999997,500,2425.3599999999997,3114.6799999999994
2000,2,25,22.28,2272.5600000000004,500,1772.5600000000004,4887.24
2000,2,26,23.85,2432.7,500,1932.6999999999998,5000.0
2000,2,27,18.26,1862.5200000000002,500,1362.5200000000002,5000.0
2000,2,28,3.03,309.05999999999995,500,-190.94000000000005,4809.0599999999995
2000,2,29,0.01,1.02,500,-498.98,4310.08
2000,3,1,0.0,0.0,500,-500.0,3810.08
2000,3,2,0.0,0.0,500,-500.0,3310.08
2000,3,3,0.0,0.0,500,-500.0,2810.08
2000,3,4,0.0,0.0,500,-500.0,2310.08
2000,3,5,0.0,0.0,500,-500.0,1810.08
2000,3,6,0.0,0.0,500,-500.0,1310.08
2000,3,7,0.01,1.02,500,-498.98,811.0999999999999
2000,3,8,0.01,1.02,500,-498.98,312.1199999999999
2000,3,9,0.0,0.0,500,-500.0,0.0
2000,3,10,0.0,0.0,500,-500.0,0.0
2000,3,11,0.0,0.0,500,-500.0,0.0
2000,3,12,0.0,0.0,500,-500.0,0.0
2000,3,13,0.0,0.0,500,-500.0,0.0
2000,3,14,0.0,0.0,500,-500.0,0.0
2000,3,15,0.0,0.0,500,-500.0,0.0
2000,3,16,0.0,0.0,500,-500.0,0.0
2000,3,17,0.0,0.0,500,-500.0,0.0
2000,3,18,0.0,0.0,500,-500.0,0.0
2000,3,19,0.0,0.0,500,-500.0,0.0
2000,3,20,0.0,0.0,500,-500.0,0.0
2000,3,21,0.0,0.0,500,-500.0,0.0
2000,3,22,0.0,0.0,500,-500.0,0.0
2000,3,23,0.0,0.0,500,-500.0,0.0
2000,3,24,0.02,2.04,500,-497.96,0.0
2000,3,25,0.0,0.0,500,-500.0,0.0
2000,3,26,0.33,33.660000000000004,500,-466.34,0.0
2000,3,27,0.7,71.39999999999999,500,-428.6,0.0
2000,3,28,0.96,97.91999999999999,500,-402.08000000000004,0.0
2000,3,29,0.1,10.2,500,-489.8,0.0
2000,3,30,0.0,0.0,500,-500.0,0.0
2000,3,31,0.0,0.0,500,-500.0,0.0
2000,4,1,12.01,1225.02,500,725.02,725.02
2000,4,2,0.67,68.34,500,-431.65999999999997,293.36
2000,4,3,0.51,52.02,500,-447.98,0.0
2000,4,4,0.14,14.28,500,-485.72,0.0
2000,4,5,0.11,11.219999999999999,500,-488.78,0.0
2000,4,6,0.0,0.0,500,-500.0,0.0
2000,4,7,0.0,0.0,500,-500.0,0.0
2000,4,8,0.0,0.0,500,-500.0,0.0
2000,4,9,0.0,0.0,500,-500.0,0.0
2000,4,10,0.04,4.08,500,-495.92,0.0
2000,4,11,0.01,1.02,500,-498.98,0.0
2000,4,12,0.04,4.08,500,-495.92,0.0
2000,4,13,0.14,14.28,500,-485.72,0.0
2000,4,14,0.88,89.75999999999999,500,-410.24,0.0
2000,4,15,0.25,25.5,500,-474.5,0.0
2000,4,16,0.04,4.08,500,-495.92,0.0
2000,4,17,0.33,33.660000000000004,500,-466.34,0.0
2000,4,18,0.05,5.1,500,-494.9,0.0
2000,4,19,0.01,1.02,500,-498.98,0.0
2000,4,20,0.01,1.02,500,-498.98,0.0
2000,4,21,0.02,2.04,500,-497.96,0.0
2000,4,22,0.02,2.04,500,-497.96,0.0
2000,4,23,0.11,11.219999999999999,500,-488.78,0.0
2000,4,24,0.71,72.41999999999999,500,-427.58000000000004,0.0
2000,4,25,0.03,3.0599999999999996,500,-496.94,0.0
2000,4,26,0.0,0.0,500,-500.0,0.0
2000,4,27,0.02,2.04,500,-497.96,0.0
2000,4,28,0.0,0.0,500,-500.0,0.0
2000,4,29,0.0,0.0,500,-500.0,0.0
2000,4,30,0.01,1.02,500,-498.98,0.0
2000,5,1,0.58,59.16,500,-440.84000000000003,0.0
2000,5,2,0.44,44.879999999999995,500,-455.12,0.0
2000,5,3,2.51,256.02,500,-243.98000000000002,0.0
2000,5,4,0.63,64.25999999999999,500,-435.74,0.0
2000,5,5,0.84,85.67999999999999,500,-414.32,0.0
2000,5,6,1.87,190.74,500,-309.26,0.0
2000,5,7,1.04,106.08000000000001,500,-393.91999999999996,0.0
2000,5,8,4.77,486.53999999999996,500,-13.460000000000036,0.0
2000,5,9,1.58,161.16000000000003,500,-338.84,0.0
2000,5,10,1.22,124.44,500,-375.56,0.0
2000,5,11,0.39,39.78,500,-460.22,0.0
2000,5,12,0.02,2.04,500,-497.96,0.0
2000,5,13,0.0,0.0,500,-500.0,0.0
2000,5,14,0.0,0.0,500,-500.0,0.0
2000,5,15,0.09,9.18,500,-490.82,0.0
2000,5,16,2.93,298.86,500,-201.14,0.0
2000,5,17,0.78,79.56,500,-420.44,0.0
2000,5,18,0.05,5.1,500,-494.9,0.0
2000,5,19,0.47,47.94,500,-452.06,0.0
2000,5,20,0.01,1.02,500,-498.98,0.0
2000,5,21,0.05,5.1,500,-494.9,0.0
2000,5,22,0.0,0.0,500,-500.0,0.0
2000,5,23,0.09,9.18,500,-490.82,0.0
2000,5,24,0.47,47.94,500,-452.06,0.0
2000,5,25,0.13,13.260000000000002,500,-486.74,0.0
2000,5,26,0.21,21.419999999999998,500,-478.58,0.0
2000,5,27,0.13,13.260000000000002,500,-486.74,0.0
2000,5,28,0.44,44.879999999999995,500,-455.12,0.0
2000,5,29,0.04,4.08,500,-495.92,0.0
2000,5,30,1.65,168.29999999999998,500,-331.70000000000005,0.0
2000,5,31,2.3,234.6,500,-265.4,0.0
2000,6,1,1.43,145.85999999999999,500,-354.14,0.0
2000,6,2,0.69,70.38,500,-429.62,0.0
2000,6,3,3.37,343.74,500,-156.26,0.0
2000,6,4,2.64,269.28000000000003,500,-230.71999999999997,0.0
2000,6,5,0.34,34.68,500,-465.32,0.0
2000,6,6,0.06,6.119999999999999,500,-493.88,0.0
2000,6,7,0.01,1.02,500,-498.98,0.0
2000,6,8,0.0,0.0,500,-500.0,0.0
2000,6,9,0.0,0.0,500,-500.0,0.0
2000,6,10,0.58,59.16,500,-440.84000000000003,0.0
2000,6,11,1.54,157.08,500,-342.91999999999996,0.0
2000,6,12,5.5,561.0,500,61.0,61.0
2000,6,13,0.47,47.94,500,-452.06,0.0
2000,6,14,0.22,22.439999999999998,500,-477.56,0.0
2000,6,15,0.13,13.260000000000002,500,-486.74,0.0
2000,6,16,0.69,70.38,500,-429.62,0.0
2000,6,17,0.51,52.02,500,-447.98,0.0
2000,6,18,1.27,129.54,500,-370.46000000000004,0.0
2000,6,19,15.54,1585.08,500,1085.08,1085.08
2000,6,20,0.86,87.72,500,-412.28,672.8
2000,6,21,1.33,135.66000000000003,500,-364.34,308.46
2000,6,22,4.97,506.93999999999994,500,6.939999999999941,315.3999999999999
2000,6,23,3.16,322.32000000000005,500,-177.67999999999995,137.71999999999997
2000,6,24,0.01,1.02,500,-498.98,0.0
2000,6,25,0.12,12.239999999999998,500,-487.76,0.0
2000,6,26,0.44,44.879999999999995,500,-455.12,0.0
2000,6,27,2.78,283.55999999999995,500,-216.44000000000005,0.0
