YEAR,MO,DY,PRECTOT,Inflow_Liters,Usage_Liters
2005,1,1,0.01,1.02,500
2005,1,2,0.01,1.02,500
2005,1,3,0.31,31.62,500
2005,1,4,0.01,1.02,500
2005,1,5,0.0,0.0,500
2005,1,6,0.0,0.0,500
2005,1,7,0.0,0.0,500
2005,1,8,0.0,0.0,500
2005,1,9,0.0,0.0,500
2005,1,10,0.0,0.0,500
2005,1,11,0.0,0.0,500
2005,1,12,0.0,0.0,500
2005,1,13,0.0,0.0,500
2005,1,14,0.0,0.0,500
2005,1,15,0.0,0.0,500
2005,1,16,0.0,0.0,500
2005,1,17,0.0,0.0,500
2005,1,18,0.0,0.0,500
2005,1,19,0.0,0.0,500
2005,1,20,0.0,0.0,500
2005,1,21,0.03,3.0599999999999996,500
2005,1,22,0.1,10.2,500
2005,1,23,0.05,5.1,500
2005,1,24,0.0,0.0,500
2005,1,25,0.0,0.0,500
2005,1,26,0.0,0.0,500
2005,1,27,0.37,37.739999999999995,500
2005,1,28,0.05,5.1,500
2005,1,29,0.25,25.5,500
2005,1,30,0.36,36.72,500
2005,1,31,1.35,137.7,500
2005,2,1,3.66,373.32000000000005,500
2005,2,2,1.37,139.74,500
2005,2,3,0.47,47.94,500
2005,2,4,0.17,17.34,500
2005,2,5,0.0,0.0,500
2005,2,6,0.0,0.0,500
2005,2,7,0.0,0.0,500
2005,2,8,0.0,0.0,500
2005,2,9,0.0,0.0,500
2005,2,10,0.0,0.0,500
2005,2,11,0.0,0.0,500
2005,2,12,0.0,0.0,500
2005,2,13,0.0,0.0,500
2005,2,14,0.0,0.0,500
2005,2,15,0.0,0.0,500
2005,2,16,0.0,0.0,500
2005,2,17,0.0,0.0,500
2005,2,18,0.0,0.0,500
2005,2,19,0.0,0.0,500
2005,2,20,0.0,0.0,500
2005,2,21,0.0,0.0,500
2005,2,22,0.08,8.16,500
2005,2,23,0.02,2.04,500
2005,2,24,0.0,0.0,500
2005,2,25,0.0,0.0,500
2005,2,26,0.0,0.0,500
2005,2,27,0.0,0.0,500
2005,2,28,0.0,0.0,500
2005,3,1,0.0,0.0,500
2005,3,2,0.0,0.0,500
2005,3,3,0.0,0.0,500
2005,3,4,0.0,0.0,500
2005,3,5,0.0,0.0,500
2005,3,6,0.0,0.0,500
2005,3,7,0.0,0.0,500
2005,3,8,0.05,5.1,500
2005,3,9,0.01,1.02,500
2005,3,10,0.44,44.879999999999995,500
2005,3,11,6.1,622.1999999999999,500
2005,3,12,0.62,63.24,500
2005,3,13,1.41,143.82,500
2005,3,14,1.07,109.14,500
2005,3,15,0.03,3.0599999999999996,500
2005,3,16,0.0,0.0,500
2005,3,17,0.0,0.0,500
2005,3,18,0.0,0.0,500
2005,3,19,0.0,0.0,500
2005,3,20,0.0,0.0,500
2005,3,21,0.0,0.0,500
2005,3,22,0.0,0.0,500
2005,3,23,0.0,0.0,500
2005,3,24,0.04,4.08,500
2005,3,25,0.14,14.28,500
2005,3,26,0.0,0.0,500
2005,3,27,0.0,0.0,500
2005,3,28,0.0,0.0,500
2005,3,29,0.0,0.0,500
2005,3,30,0.25,25.5,500
2005,3,31,0.13,13.260000000000002,500
2005,4,1,3.33,339.66,500
2005,4,2,0.22,22.439999999999998,500
2005,4,3,3.09,315.17999999999995,500
2005,4,4,2.86,291.71999999999997,500
2005,4,5,6.83,696.66,500
2005,4,6,16.21,1653.42,500
2005,4,7,5.33,543.66,500
2005,4,8,0.15,15.299999999999999,500
2005,4,9,0.54,55.080000000000005,500
2005,4,10,7.3,744.6,500
2005,4,11,1.25,127.5,500
2005,4,12,0.21,21.419999999999998,500
2005,4,13,0.19,19.38,500
2005,4,14,0.29,29.58,500
2005,4,15,2.89,294.78000000000003,500
2005,4,16,0.07,7.14,500
2005,4,17,0.0,0.0,500
2005,4,18,0.89,90.78,500
2005,4,19,0.28,28.56,500
2005,4,20,0.3,30.599999999999998,500
2005,4,21,0.07,7.14,500
2005,4,22,0.01,1.02,500
2005,4,23,0.19,19.38,500
2005,4,24,0.04,4.08,500
2005,4,25,1.13,115.25999999999999,500
2005,4,26,21.4,2182.7999999999997,500
2005,4,27,5.49,559.98,500
2005,4,28,0.02,2.04,500
2005,4,29,0.0,0.0,500
2005,4,30,0.55,56.1,500
2005,5,1,1.63,166.26,500
2005,5,2,0.85,86.7,500
2005,5,3,0.83,84.66,500
2005,5,4,9.27,945.5399999999998,500
2005,5,5,10.53,1074.06,500
2005,5,6,1.1,112.2,500
2005,5,7,0.09,9.18,500
2005,5,8,0.0,0.0,500
2005,5,9,0.0,0.0,500
2005,5,10,0.37,37.739999999999995,500
2005,5,11,0.06,6.119999999999999,500
2005,5,12,0.11,11.219999999999999,500
2005,5,13,0.02,2.04,500
2005,5,14,0.0,0.0,500
2005,5,15,0.01,1.02,500
2005,5,16,0.05,5.1,500
2005,5,17,0.0,0.0,500
2005,5,18,0.0,0.0,500
2005,5,19,0.0,0.0,500
2005,5,20,0.0,0.0,500
2005,5,21,5.61,572.22,500
2005,5,22,6.28,640.5600000000001,500
2005,5,23,18.14,1850.2800000000002,500
2005,5,24,0.61,62.22,500
2005,5,25,4.41,449.82000000000005,500
2005,5,26,9.32,950.6400000000001,500
2005,5,27,46.03,4695.06,500
2005,5,28,1.17,119.33999999999997,500
2005,5,29,5.54,565.0799999999999,500
2005,5,30,2.62,267.24,500
2005,5,31,36.23,3695.4599999999996,500
2005,6,1,5.85,596.6999999999999,500
2005,6,2,6.29,641.5799999999999,500
2005,6,3,5.19,529.38,500
2005,6,4,10.06,1026.1200000000001,500
2005,6,5,3.26,332.52,500
2005,6,6,0.13,13.260000000000002,500
2005,6,7,1.24,126.48,500
2005,6,8,0.65,66.3,500
2005,6,9,2.52,257.03999999999996,500
2005,6,10,6.37,649.74,500
2005,6,11,0.11,11.219999999999999,500
2005,6,12,0.05,5.1,500
2005,6,13,0.51,52.02,500
2005,6,14,0.06,6.119999999999999,500
2005,6,15,0.0,0.0,500
2005,6,16,0.1,10.2,500
2005,6,17,0.04,4.08,500
2005,6,18,0.12,12.239999999999998,500
2005,6,19,0.18,18.36,500
2005,6,20,3.01,307.02,500
2005,6,21,0.33,33.660000000000004,500
2005,6,22,1.15,117.3,500
2005,6,23,0.02,2.04,500
2005,6,24,1.36,138.72,500
2005,6,25,0.85,86.7,500
2005,6,26,0.01,1.02,500
2005,6,27,0.01,1.02,500
2005,6,28,0.06,6.119999999999999,500
2005,6,29,0.04,4.08,500
2005,6,30,1.11,113.22000000000001,500
2005,7,1,2.68,273.36,500
2005,7,2,2.06,210.12,500
2005,7,3,0.51,52.02,500
2005,7,4,0.27,27.540000000000003,500
2005,7,5,0.57,58.13999999999999,500
2005,7,6,0.26,26.520000000000003,500
2005,7,7,0.01,1.02,500
2005,7,8,3.03,309.05999999999995,500
2005,7,9,0.3,30.599999999999998,500
2005,7,10,6.99,712.98,500
2005,7,11,1.39,141.77999999999997,500
2005,7,12,1.27,129.54,500
2005,7,13,8.84,901.68,500
2005,7,14,14.39,1467.7800000000002,500
2005,7,15,15.82,1613.64,500
2005,7,16,24.67,2516.34,500
2005,7,17,4.46,454.92,500
2005,7,18,0.76,77.52,500
2005,7,19,1.72,175.44,500
2005,7,20,1.56,159.12,500
2005,7,21,0.22,22.439999999999998,500
2005,7,22,2.12,216.24,500
2005,7,23,20.39,2079.78,500
2005,7,24,11.57,1180.14,500
2005,7,25,5.7,581.4,500
2005,7,26,4.54,463.0799999999999,500
2005,7,27,1.23,125.46,500
2005,7,28,2.04,208.08,500
2005,7,29,0.59,60.17999999999999,500
2005,7,30,1.43,145.85999999999999,500
2005,7,31,2.61,266.21999999999997,500
2005,8,1,1.18,120.35999999999999,500
2005,8,2,0.65,66.3,500
2005,8,3,0.8,81.6,500
2005,8,4,0.77,78.54,500
2005,8,5,0.5,51.0,500
2005,8,6,0.02,2.04,500
2005,8,7,0.08,8.16,500
2005,8,8,0.15,15.299999999999999,500
2005,8,9,0.8,81.6,500
2005,8,10,21.91,2234.8199999999997,500
2005,8,11,0.91,92.82,500
