year,month,day,PRECTOT,city,date
2000,1,1,0.0,Newyork,2000-01-01
2000,1,2,0.03,Newyork,2000-01-02
2000,1,3,0.06,Newyork,2000-01-03
2000,1,4,0.0,Newyork,2000-01-04
2000,1,5,0.06,Newyork,2000-01-05
2000,1,6,0.83,Newyork,2000-01-06
2000,1,7,4.34,Newyork,2000-01-07
2000,1,8,0.0,Newyork,2000-01-08
2000,1,9,0.39,Newyork,2000-01-09
2000,1,10,15.85,Newyork,2000-01-10
2000,1,11,0.0,Newyork,2000-01-11
2000,1,12,18.55,Newyork,2000-01-12
2000,1,13,25.14,Newyork,2000-01-13
2000,1,14,0.05,Newyork,2000-01-14
2000,1,15,2.29,Newyork,2000-01-15
2000,1,16,1.21,Newyork,2000-01-16
2000,1,17,17.13,Newyork,2000-01-17
2000,1,18,0.24,Newyork,2000-01-18
2000,1,19,1.54,Newyork,2000-01-19
2000,1,20,0.04,Newyork,2000-01-20
2000,1,21,0.01,Newyork,2000-01-21
2000,1,22,0.0,Newyork,2000-01-22
2000,1,23,0.67,Newyork,2000-01-23
2000,1,24,0.34,Newyork,2000-01-24
2000,1,25,0.41,Newyork,2000-01-25
2000,1,26,0.11,Newyork,2000-01-26
2000,1,27,0.42,Newyork,2000-01-27
2000,1,28,0.11,Newyork,2000-01-28
2000,1,29,0.0,Newyork,2000-01-29
2000,1,30,0.02,Newyork,2000-01-30
2000,1,31,0.03,Newyork,2000-01-31
2000,2,1,0.0,Newyork,2000-02-01
2000,2,2,0.01,Newyork,2000-02-02
2000,2,3,0.0,Newyork,2000-02-03
2000,2,4,0.03,Newyork,2000-02-04
2000,2,5,0.0,Newyork,2000-02-05
2000,2,6,2.43,Newyork,2000-02-06
2000,2,7,0.06,Newyork,2000-02-07
2000,2,8,1.22,Newyork,2000-02-08
2000,2,9,1.85,Newyork,2000-02-09
2000,2,10,0.0,Newyork,2000-02-10
2000,2,11,0.0,Newyork,2000-02-11
2000,2,12,0.0,Newyork,2000-02-12
2000,2,13,0.0,Newyork,2000-02-13
2000,2,14,0.06,Newyork,2000-02-14
2000,2,15,0.09,Newyork,2000-02-15
2000,2,16,0.14,Newyork,2000-02-16
2000,2,17,0.0,Newyork,2000-02-17
2000,2,18,0.0,Newyork,2000-02-18
2000,2,19,0.28,Newyork,2000-02-19
2000,2,20,6.63,Newyork,2000-02-20
2000,2,21,0.06,Newyork,2000-02-21
2000,2,22,0.0,Newyork,2000-02-22
2000,2,23,0.01,Newyork,2000-02-23
2000,2,24,0.65,Newyork,2000-02-24
2000,2,25,0.0,Newyork,2000-02-25
2000,2,26,1.04,Newyork,2000-02-26
2000,2,27,0.2,Newyork,2000-02-27
2000,2,28,0.01,Newyork,2000-02-28
2000,2,29,0.02,Newyork,2000-02-29
2000,3,1,0.06,Newyork,2000-03-01
2000,3,2,0.0,Newyork,2000-03-02
2000,3,3,0.0,Newyork,2000-03-03
2000,3,4,13.16,Newyork,2000-03-04
2000,3,5,2.39,Newyork,2000-03-05
2000,3,6,0.13,Newyork,2000-03-06
2000,3,7,0.01,Newyork,2000-03-07
2000,3,8,0.0,Newyork,2000-03-08
2000,3,9,0.01,Newyork,2000-03-09
2000,3,10,0.0,Newyork,2000-03-10
2000,3,11,1.1,Newyork,2000-03-11
2000,3,12,10.52,Newyork,2000-03-12
2000,3,13,0.06,Newyork,2000-03-13
2000,3,14,0.0,Newyork,2000-03-14
2000,3,15,0.0,Newyork,2000-03-15
2000,3,16,25.44,Newyork,2000-03-16
2000,3,17,0.3,Newyork,2000-03-17
2000,3,18,0.0,Newyork,2000-03-18
2000,3,19,0.34,Newyork,2000-03-19
2000,3,20,0.41,Newyork,2000-03-20
2000,3,21,1.65,Newyork,2000-03-21
2000,3,22,1.15,Newyork,2000-03-22
2000,3,23,2.76,Newyork,2000-03-23
2000,3,24,17.82,Newyork,2000-03-24
2000,3,25,0.02,Newyork,2000-03-25
2000,3,26,0.01,Newyork,2000-03-26
2000,3,27,0.0,Newyork,2000-03-27
2000,3,28,20.17,Newyork,2000-03-28
2000,3,29,8.3,Newyork,2000-03-29
2000,3,30,0.0,Newyork,2000-03-30
2000,3,31,0.02,Newyork,2000-03-31
2000,4,1,0.0,Newyork,2000-04-01
2000,4,2,0.02,Newyork,2000-04-02
2000,4,3,0.23,Newyork,2000-04-03
2000,4,4,0.2,Newyork,2000-04-04
2000,4,5,20.53,Newyork,2000-04-05
2000,4,6,0.01,Newyork,2000-04-06
